Point;Latitude;Longitude
XETBO;52.0000000; -14.0000000
03MCT;55.136667;-7.191389
24DUB;55.083889;-8.573889
26DUB;55.170833;-8.461667
31MCT;55.365556;-7.904722
ABAPO;52.102778;-4.803333
ABBOT;52.016111;-0.599444
ABD01;57.178825;-2.180592
ABD04;57.163400;-2.169156
ABD07;57.086250;-2.112117
ABDUK;51.642778;-3.800278
ABEDA;52.327778; 1.871111
ABKAT;54.148056;-1.979722
ABLIN;52.782778;-4.992500
ABSUN;54.292222;-6.255000
ABTIN;52.424858; 0.586580
ADELU;53.441667;-1.536944
ADMIS;51.996944; 0.176667
ADN24;56.925556;-2.116389
ADN25;57.248106;-2.232189
ADN26;56.959639;-2.732756
ADN30;56.822500;-2.076389
ADN40;56.659722;-2.013889
ADN45;57.240225;-2.220014
ADN50;57.217262;-2.209240
ADN63;57.306697;-2.275900
ADNAM;52.104722; 0.738611
ADVUL;52.398219; 0.530811
AKIVO;59.964444;-9.500000
AKOKO;53.237778; 3.202500
AKUPA;52.486667;-1.091111
ALASO;55.447222;-1.565000
ALKIN;51.390556; 0.194722
ALUTA;49.005278;-7.498056
ALVIN;51.662500;-2.678333
AMMAN;51.840556;-3.998333
AMRAL;52.114722;-2.909167
AMVEL;53.184167;-0.031944
ANGUS;56.694167;-3.055556
ANNET;49.651389;-4.001389
ANTEE;52.394153; 0.165817
APPLE;54.500000;-2.513889
ARSAT;54.535000;-1.738611
ARTEX;56.894722; 3.960556
ARTIX;53.395000;-1.035833
ARTOV;51.905278; 1.425833
ASKAM;54.963056; 3.230556
ASNIP;53.478611;-2.907222
ASPEN;50.292778;-1.805556
ASRAM;52.547286; 0.949933
ATF05;57.179289;-2.181278
AVANT;50.000000; 0.000000
BABAX;50.419722;-3.804722
BABRA;53.627500;-3.945278
BADIM;51.643889;-2.511111
BADSI;52.658333;-4.771389
BAKDI;52.464636;0.713192
BAKER;51.495000;-0.298056
BALDO;52.337564;0.617478
BALID;56.496944;-1.951944
BALIX;59.000000;-10.000000
BAMRA;59.433333;-3.952778
BANEM;52.335556;1.505278
BANTO;52.357778;-0.232500
BAPLA;51.684239;-1.754689
BAPVI;52.448050;0.665950
BARKU;60.605000;-9.410000
BARMI;52.478333;2.570556
BARTN;53.470556;-2.428056
BASET;51.563889;-1.710000
BASID;52.399364;0.642522
BATLI;53.645833;-1.360278
BCN05;51.808611;-3.256944
BCN06;51.642778;-3.277778
BCN10;51.891667;-3.250556
BCN15;51.787222;-3.652778
BCN23;51.819444;-3.861389
BCN24;52.134167;-3.232500
